qid,K,C,layer,train_input,test_input,decision_score,probability,fold
In what country is Chrysler?,1,1,17,cq,q,16.88102531376357,0.9999999533701696,0
Who is the author of Jumper?,1,1,17,cq,q,4.612350505920999,0.9901691511604316,0
Who was the director of The Designated Mourner?,1,1,17,cq,q,2.7565801759125907,0.9402838994808478,2
What is Andy C's occupation?,1,1,17,cq,q,6.1913882598554215,0.9979571985444738,1
What is the capital of Russia?,1,1,17,cq,q,13.636439482616183,0.9999988038956757,3
In what country is Bouvet Island?,1,1,17,cq,q,9.787017656501725,0.9999438269712144,0
What sport does Corby Town F.C. play?,1,1,17,cq,q,7.7303252410168595,0.9995608916857255,3
In what country is Revigliasco d'Asti?,1,1,17,cq,q,11.48542240735577,0.9999897212580738,3
Who was the screenwriter for Les Bonnes Femmes?,1,1,17,cq,q,-1.9127546862638583,0.12867169365935768,4
What is the capital of Uzbekistan?,1,1,17,cq,q,9.7641151552766,0.9999425256979673,4
In what country is Asiana Airlines?,1,1,17,cq,q,14.729101023429028,0.9999995989185947,2
What is the capital of Obwalden?,1,1,17,cq,q,1.1331935990354496,0.756427784836381,3
In what country is Kanjiroba Himal?,1,1,17,cq,q,6.293151793870853,0.9981544888799992,0
Who was the director of Green Hell?,1,1,17,cq,q,-1.0666560947649322,0.2560395224406234,1
Who is the father of Randolph Churchill?,1,1,17,cq,q,11.95679472495565,0.9999935845482432,2
In what country is Kireyevsky District?,1,1,17,cq,q,5.4964501049113546,0.995915447167192,3
What is Benazir Bhutto's occupation?,1,1,17,cq,q,11.342999508103482,0.9999881479695634,4
Who was the director of Alphaville?,1,1,17,cq,q,6.192122039135975,0.9979586939013111,1
What is Firaq Gorakhpuri's occupation?,1,1,17,cq,q,7.523666386202208,0.9994601430651187,3
Who was the screenwriter for Tanu Weds Manu?,1,1,17,cq,q,-2.201228724593959,0.09964020349879671,4
Who was the composer of Samson?,1,1,17,cq,q,4.1737525954693515,0.9848390113556245,3
Who is the author of Couples?,1,1,17,cq,q,-3.6915964192724013,0.024325676213708538,1
Who was the producer of Xxplosive?,1,1,17,cq,q,-2.6957098680741955,0.06322698206308407,2
Who was the composer of Shaft?,1,1,17,cq,q,6.88835635933278,0.9989814502001514,1
Who was the producer of No Entry?,1,1,17,cq,q,-5.0310371295546314,0.006489641940316631,4
Who is the mother of Todd McCaffrey?,1,1,17,cq,q,1.0011958947656394,0.7312936408310183,3
What genre is Death of an Expert Witness?,1,1,17,cq,q,6.831185549696199,0.9989215867647492,4
What sport does 1994–95 FIBA Women's European Champions Cup play?,1,1,17,cq,q,4.209285608711916,0.9853605201893963,0
What genre is Johann Sebastian Bach?,1,1,17,cq,q,8.726697628154291,0.9998378290954096,3
In what city was Ted Williams born?,1,1,17,cq,q,5.8821175665125995,0.9972188827908479,2
What sport does St. Louis Cardinals play?,1,1,17,cq,q,9.336780394091283,0.9999118850647171,4
What is the capital of Portugal?,1,1,17,cq,q,10.026233114578101,0.9999557775216428,2
What is Kanye West's occupation?,1,1,17,cq,q,15.1872323947131,0.999999746330259,2
Who is the author of A Marriage Proposal?,1,1,17,cq,q,1.5786278470603663,0.8290100998691142,3
What color is Juventus F.C.?,1,1,17,cq,q,7.198951838324735,0.9992531893816596,3
Who is the author of When I have Fears that I may Cease to Be?,1,1,17,cq,q,7.744861609465605,0.9995672258144054,0
What is Cardiff the capital of?,1,1,17,cq,q,5.532565182940176,0.996059758282214,1
Who was the screenwriter for Brave?,1,1,17,cq,q,2.8984498244395738,0.947769752989409,2
Who is the author of Same-Sex Unions in Pre-Modern Europe?,1,1,17,cq,q,-6.777058706031359,0.0011383246769508864,1
What color is chalk?,1,1,17,cq,q,1.1286525021742833,0.7555901374232441,2
What is the capital of French Polynesia?,1,1,17,cq,q,5.532489898831439,0.9960594628024171,2
What is the capital of Vanuatu?,1,1,17,cq,q,9.716502620913307,0.9999397231775973,3
What is the capital of El Salvador?,1,1,17,cq,q,10.87431352892111,0.9999810618559729,4
Who was the producer of Open Season?,1,1,17,cq,q,-0.8390647345516582,0.301731798265681,3
Who is the author of Molly Moon Stops the World?,1,1,17,cq,q,0.7260342946260303,0.6739344232809726,2
Who is the author of Libra?,1,1,17,cq,q,6.184829488572083,0.9979437838829237,1
Who is the father of Ramkarpal Singh?,1,1,17,cq,q,-1.5393905830588703,0.17662388353240133,2
What is the religion of saint?,1,1,17,cq,q,-2.2975406159206164,0.09132685106551962,2
Who is the author of The Stud?,1,1,17,cq,q,2.096440440548617,0.8905567267718066,1
What genre is Big Business?,1,1,17,cq,q,8.239001175820064,0.9997359218006168,3
In what country is Volvic?,1,1,17,cq,q,4.937639197232797,0.9928795554105654,2
In what country is Pindus?,1,1,17,cq,q,10.988879425732948,0.9999831118153564,0
"Who is the author of The Quest: Energy, Security, and the Remaking of the Modern World?",1,1,17,cq,q,0.6638416875260291,0.6601228415305788,2
What is the capital of Nauru?,1,1,17,cq,q,11.202819211374688,0.9999863644860233,3
What is the capital of Kingdom of the Netherlands?,1,1,17,cq,q,8.168391085975358,0.9997166065999779,4
What is William Lescaze's occupation?,1,1,17,cq,q,1.8407500360354265,0.863037388717833,3
In what city was Babyface born?,1,1,17,cq,q,8.55631946004815,0.9998077111265488,0
In what city was Jean Arp born?,1,1,17,cq,q,9.965375899306498,0.9999530028171585,0
What is the capital of Afghanistan?,1,1,17,cq,q,7.229426170673592,0.9992755884187888,1
Who was the director of Mud?,1,1,17,cq,q,2.0076724960937185,0.8816002901952278,1
What is Nigel Sheinwald's occupation?,1,1,17,cq,q,-0.03163610445302112,0.49209163346191936,3
Who was the screenwriter for Toy Story?,1,1,17,cq,q,13.357991360757193,0.9999984198534166,4
Who is the author of The Neverending Story?,1,1,17,cq,q,11.467009856544149,0.9999895302491125,2
What genre is Southern Rock Opera?,1,1,17,cq,q,6.595557086837394,0.9986354390898068,4
What is Rodez the capital of?,1,1,17,cq,q,0.035480652695365045,0.5088692327541458,2
What is the capital of Wales?,1,1,17,cq,q,9.287084851636932,0.9999073959295557,2
In what country is Tadami Line?,1,1,17,cq,q,4.2805292039405956,0.9863534659833807,2
What is John Scurti's occupation?,1,1,17,cq,q,-0.5709620186148299,0.36101487372233293,3
What genre is Quenta Silmarillion?,1,1,17,cq,q,11.589559813997917,0.9999907378011088,0
What is the capital of Sergipe?,1,1,17,cq,q,3.7536485760364053,0.9771043960701463,2
Who is the father of Ariarathes VI of Cappadocia?,1,1,17,cq,q,0.9339623383337723,0.7178784661519135,4
What genre is General Hospital?,1,1,17,cq,q,5.950690230838626,0.9974027209176195,1
Who is the father of Moses?,1,1,17,cq,q,3.951588043400392,0.9811384485313899,2
What sport does Kaisa Varis play?,1,1,17,cq,q,0.7615025039654162,0.6816798547375574,3
What is the capital of Orotina Canton?,1,1,17,cq,q,-7.222472163937934,0.0007294630129991717,1
Who was the composer of It's Going to Take Some Time?,1,1,17,cq,q,-4.348455409871709,0.012761795011226448,4
What is the capital of France?,1,1,17,cq,q,10.496139834924284,0.999972357814099,4
What is the religion of Dinesh D'Souza?,1,1,17,cq,q,-2.6140012971380027,0.0682427386138345,0
Who was the producer of Precious?,1,1,17,cq,q,1.7923705914303534,0.8572176721016481,2
Who was the director of Scary Movie 3?,1,1,17,cq,q,0.4728462749308402,0.6160572098691073,3
What genre is Banjo-Kazooie?,1,1,17,cq,q,13.517922129926244,0.9999986533943653,4
What is the capital of Iowa?,1,1,17,cq,q,4.3613123186033596,0.9873991776913511,1
Who was the composer of Balika Badhu?,1,1,17,cq,q,-6.488452215380819,0.0015185915869617998,3
In what country is Sabana de la Mar?,1,1,17,cq,q,2.6810623217668375,0.9358998831688731,1
In what country is Hawi?,1,1,17,cq,q,1.133872809416039,0.7565529040144903,0
What is the capital of Uruguay?,1,1,17,cq,q,7.450879736969204,0.9994194069626541,0
What is the capital of Gabon?,1,1,17,cq,q,10.75960257780789,0.9999787599884552,1
Who was the composer of The Prestige?,1,1,17,cq,q,5.055699893802883,0.9936674518821055,0
In what city was Dawson Turner born?,1,1,17,cq,q,-3.8175363622422727,0.02150907944186286,0
What is the capital of Aruba?,1,1,17,cq,q,6.025907000928194,0.9975904600660407,2
What is the capital of Guinea?,1,1,17,cq,q,10.015719083945815,0.9999553101331666,3
What is Dean Alfange's occupation?,1,1,17,cq,q,-0.496752594732484,0.3783041240272249,0
Who is the author of Success is Counted Sweetest?,1,1,17,cq,q,6.717332419539252,0.9987917007050251,2
What sport does Friedhelm Konietzka play?,1,1,17,cq,q,-0.09103471132574348,0.47725702652196184,2
What sport does Diego Polenta play?,1,1,17,cq,q,-0.28861783900847504,0.42834227658476953,0
Who is the father of Talia Balsam?,1,1,17,cq,q,5.856824643244338,0.9971478462607769,1
In what country is Ferrari?,1,1,17,cq,q,16.59208651926328,0.9999999377487102,1
Who was the producer of Back to the Future?,1,1,17,cq,q,-1.110760932362783,0.24772905446487042,3
Who was the screenwriter for Our Town?,1,1,17,cq,q,6.4171566351179266,0.9983693696097314,4
What sport does Bryce Harper play?,1,1,17,cq,q,6.87381839491213,0.998966549814154,0
Who is the father of Beau Biden?,1,1,17,cq,q,8.018040418546438,0.9996706435072655,2
What color is Exeter City F.C.?,1,1,17,cq,q,1.6189877053752917,0.8346554746905555,4
"Who was the director of South Park: Bigger, Longer & Uncut?",1,1,17,cq,q,1.2554477653467913,0.778241470649788,2
In what country is Varany Maha Vidyalayam?,1,1,17,cq,q,6.051809587587709,0.9976519273148964,3
Who is the author of Ross O'Carroll-Kelly?,1,1,17,cq,q,-2.7274719762566617,0.06137162863235674,3
Who was the screenwriter for Star Trek: First Contact?,1,1,17,cq,q,-1.74028097788126,0.1492772486353166,1
Who was the screenwriter for The Bourne Legacy?,1,1,17,cq,q,1.5474175568253221,0.8245404337969335,1
What sport does Grantham Town F.C. play?,1,1,17,cq,q,3.7173910576656857,0.9762790783491778,0
What genre is The Rolling Stones?,1,1,17,cq,q,11.09072921157876,0.9999847471542315,0
In what country is Cambridge?,1,1,17,cq,q,13.224522078008407,0.9999981942307575,2
Who is the author of Moneyball?,1,1,17,cq,q,11.566914256362088,0.9999905256625043,1
What is Stockholm the capital of?,1,1,17,cq,q,7.471213847492068,0.9994310869357677,1
In what country is Macedonian Academy of Sciences and Arts?,1,1,17,cq,q,9.881977061658636,0.9999489154343029,0
What genre is Synyster Gates?,1,1,17,cq,q,4.053515361863037,0.9829350327150695,3
Who is the author of The Clouds?,1,1,17,cq,q,10.891176709769379,0.9999813785298054,0
What is William Molyneux's occupation?,1,1,17,cq,q,5.507055954287365,0.9959583642466995,3
Who is the mother of Sean Penn?,1,1,17,cq,q,7.747796048424483,0.9995684933551744,4
Who is the father of Griffin O'Neal?,1,1,17,cq,q,7.527142693213144,0.9994620155074483,1
What genre is Claude Lorrain?,1,1,17,cq,q,6.4913859880745175,0.9984858503507219,1
What is the capital of Nan?,1,1,17,cq,q,-1.0452358170987974,0.26014100359752107,4
What is the capital of Armenia?,1,1,17,cq,q,9.814377140066295,0.9999453429199233,3
What is Rhea Silvia's occupation?,1,1,17,cq,q,2.336464044773511,0.9118522868328341,4
Who was the producer of The Terminal?,1,1,17,cq,q,-1.2219248314061784,0.22759789339828435,2
What genre is Suikoden Tierkreis?,1,1,17,cq,q,5.277048120660045,0.9949184686041391,3
In what country is Joint European Torus?,1,1,17,cq,q,7.31589175708088,0.9993355536525275,2
What is Seif Sharif Hamad's occupation?,1,1,17,cq,q,-2.515930618424927,0.07474890313059893,0
Who was the producer of Particle Fever?,1,1,17,cq,q,-2.4387968611122335,0.08026168273857999,0
Who is the father of James I of Aragon?,1,1,17,cq,q,6.243555578809456,0.9980608327074966,4
In what country is New York State Route 157?,1,1,17,cq,q,2.0909987093492566,0.8900252177217415,1
In what country is Canadian Dairy Commission?,1,1,17,cq,q,4.746851478348787,0.9913956983653758,1
Who is the author of Make Love! The Bruce Campbell Way?,1,1,17,cq,q,5.939831824004395,0.9973744393832374,0
Who was the producer of Chef?,1,1,17,cq,q,2.320869103137469,0.9105907241762613,2
What is the capital of Tunisia?,1,1,17,cq,q,6.047841528487319,0.9976426135215457,2
Who is the author of The Confidential Clerk?,1,1,17,cq,q,2.3563375811133493,0.9134366557078399,4
What color is snow?,1,1,17,cq,q,9.326550110386886,0.9999109790778278,0
What is the capital of Silla?,1,1,17,cq,q,-0.1558459555043723,0.4611171779932484,1
In what country is Wiang Kao?,1,1,17,cq,q,-0.899702796247251,0.2891115766664448,1
Who is the father of Donald Trump?,1,1,17,cq,q,13.654663820699344,0.9999988254964324,1
In what city was Benny Napoleon born?,1,1,17,cq,q,1.3613499683781725,0.7959790153487284,4
What is the capital of Connecticut?,1,1,17,cq,q,4.914955117189854,0.9927173785071922,2
Who is the author of Our Lady of the Flowers?,1,1,17,cq,q,8.902213240431474,0.9998639311184649,2
What is the capital of Azerbaijan?,1,1,17,cq,q,7.4038161556209054,0.999391445992824,1
Who was the director of Alien?,1,1,17,cq,q,6.227931831960089,0.9980303578773778,2
Who is the author of The Incoherence of the Philosophers?,1,1,17,cq,q,-3.9677127605599205,0.01856545438739299,1
What is the capital of Bangladesh?,1,1,17,cq,q,7.561993099023091,0.999480431969437,1
In what city was Alma Karlin born?,1,1,17,cq,q,11.14515105898273,0.9999855550473794,3
What is Stevie Cameron's occupation?,1,1,17,cq,q,11.654089116477246,0.9999913166034645,2
What genre is S.H.E?,1,1,17,cq,q,4.39218901571831,0.9877776214697711,3
Who is the author of Tuesday?,1,1,17,cq,q,-0.0436754795623473,0.48908286546698015,2
Who is the author of Ship Breaker?,1,1,17,cq,q,0.2884564958994591,0.5716182156506215,1
What is the capital of Plesetsky District?,1,1,17,cq,q,5.589503249453517,0.9962770286083918,3
What sport does George Burley play?,1,1,17,cq,q,3.978520935921077,0.9816304576580277,1
Who is the author of The Jungle?,1,1,17,cq,q,21.738742749396497,0.9999999996377704,4
Who was the screenwriter for Brian Wilson: I Just Wasn't Made for These Times?,1,1,17,cq,q,-6.888175746470917,0.0010187335922305111,1
What is the capital of Papua New Guinea?,1,1,17,cq,q,11.343644971592195,0.9999881556170573,4
Who is the author of Thunderball?,1,1,17,cq,q,13.229592426671232,0.999998203363448,4
In what country is Toronto Northwest?,1,1,17,cq,q,-1.4938772797513895,0.1833404820128901,4
In what country is Sircilla?,1,1,17,cq,q,8.777929848696573,0.9998459269833126,4
Who is the father of Princess Senate Seeiso?,1,1,17,cq,q,1.6381450864473803,0.8372823809715385,0
What sport does Deportivo Cali play?,1,1,17,cq,q,4.433507821194909,0.9882665396734011,1
What is the capital of Israel?,1,1,17,cq,q,8.624106513078702,0.9998203115819149,0
What sport does HSV Hamburg play?,1,1,17,cq,q,3.376121307620395,0.9669498749208518,4
Who was the composer of Petrushka chord?,1,1,17,cq,q,-4.319324513856348,0.013134070817240657,3
In what country is Husainid Dynasty?,1,1,17,cq,q,2.2286150407630614,0.9027898823454691,4
What sport does face mask play?,1,1,17,cq,q,-1.2024469855145843,0.23104019743935564,4
What sport does Warrenpoint Town F.C. play?,1,1,17,cq,q,5.03323384482305,0.9935245060959625,1
Who is the mother of Parikshit?,1,1,17,cq,q,6.045153660349548,0.9976362836517451,0
In what city was Andries Bonger born?,1,1,17,cq,q,1.775354364919902,0.855122275658321,2
Who was the director of Breaking Bad?,1,1,17,cq,q,11.134853864744514,0.9999854055386281,3
What sport does Carlaw Park play?,1,1,17,cq,q,1.023355979464326,0.7356257878898931,4
Who was the director of The Black Tent?,1,1,17,cq,q,-4.670461752734964,0.00928099898677763,0
Who is the author of Tom Sawyer Abroad?,1,1,17,cq,q,4.921662814458211,0.9927657124493355,3
Who was the composer of Dragonball Evolution?,1,1,17,cq,q,-5.367034631331628,0.0046462644643515995,1
Who is the father of George W. Bush?,1,1,17,cq,q,15.100897753503215,0.9999997234565899,3
Who was the producer of Freddie Foxxx Is Here?,1,1,17,cq,q,-4.951129901083003,0.007025700188886435,1
Who is the author of NW?,1,1,17,cq,q,4.493558234710113,0.9889428387144679,0
What is the capital of Qasr-e Shirin County?,1,1,17,cq,q,-2.905061237728103,0.051903934389842275,1
What is the capital of Larnaca District?,1,1,17,cq,q,-0.7267828110453085,0.3259011140384003,2
In what country is Bundesautobahn 100?,1,1,17,cq,q,1.443562511577216,0.8090057206243315,2
Who was the screenwriter for The Blackcoat's Daughter?,1,1,17,cq,q,-2.57205221531438,0.07095889521724998,2
In what country is American Booksellers Association?,1,1,17,cq,q,13.260263733365077,0.9999982576320442,4
What genre is Prince Lasha?,1,1,17,cq,q,-6.05482679181118,0.002341015307601355,2
Who is the father of Abraham Lincoln?,1,1,17,cq,q,16.635609462658667,0.9999999403999558,3
Who was the director of The Stranger?,1,1,17,cq,q,6.946211716426536,0.9990386514574201,0
Who is the author of Blue Latitudes?,1,1,17,cq,q,-1.4171090292838566,0.19511519669341074,0
What is the capital of Ohio?,1,1,17,cq,q,7.469786012491437,0.9994302745047074,2
Who is the author of The Dining Room?,1,1,17,cq,q,2.7992088501505608,0.9426330568789475,3
Who is the father of Vira Someshwara?,1,1,17,cq,q,0.5288392173573657,0.6292123371773956,3
In what country is Gmina Dziadkowice?,1,1,17,cq,q,3.036980721634833,0.954217107291317,0
What is the religion of Hillsdale Free Will Baptist College?,1,1,17,cq,q,-13.081207841630674,2.0840239836776274e-06,2
What is the capital of Massac County?,1,1,17,cq,q,-6.664934816925438,0.0012732165744060023,2
Who was the director of Voyage to the Planet of Prehistoric Women?,1,1,17,cq,q,-4.875022873083191,0.007577069268176795,4
Who is the author of The Camp of the Saints?,1,1,17,cq,q,1.5681279782445336,0.827516572984709,4
What genre is Ultima Online: Samurai Empire?,1,1,17,cq,q,7.804167477246427,0.9995921354504168,3
In what city was Constantine of Kostenets born?,1,1,17,cq,q,-6.683415581384715,0.0012499317927037363,2
Who is the father of Thor?,1,1,17,cq,q,1.6627962741152162,0.8406130125562922,1
What is G. Karunakara Reddy's occupation?,1,1,17,cq,q,-1.4829841640372605,0.18497710201049314,2
In what country is British American Tobacco?,1,1,17,cq,q,17.891610313202346,0.9999999830264626,4
Who was the producer of The Chronic?,1,1,17,cq,q,-1.7151827133409194,0.15249270173136578,1
In what country is Tigra?,1,1,17,cq,q,10.035393055913904,0.9999561807296998,0
What genre is Doorways in the Sand?,1,1,17,cq,q,0.047542138259108135,0.5118832963758416,4
What genre is Michel Langevin?,1,1,17,cq,q,1.8393422722826074,0.86287090055642,1
Who is the author of Poil de carotte?,1,1,17,cq,q,-3.338386226469492,0.03427753764240654,1
Who is the author of Kim?,1,1,17,cq,q,10.123922913997667,0.9999598931342129,3
What is the capital of Palestinian territories?,1,1,17,cq,q,6.389311729934825,0.9983234040024282,0
Who is the author of Why I Write?,1,1,17,cq,q,10.186016271407938,0.9999623076712046,4
What is the capital of American Samoa?,1,1,17,cq,q,6.9533723492449315,0.9990455041865053,4
What is the religion of Thomas Cooray?,0,1,17,cq,q,-9.959670925286018,4.726605409828346e-05,4
What is the capital of Nyandeni Local Municipality?,0,1,17,cq,q,1.3488784492425283,0.7939462078882459,2
Who is the author of Fail-Safe Investing?,0,1,17,cq,q,-3.4121363384924175,0.031918319560363576,3
Who was the screenwriter for The Duellists?,0,1,17,cq,q,-1.0638924718265583,0.25656630124427454,0
Who is the author of Millennial Rites?,0,1,17,cq,q,-0.1595725643109147,0.4601912951869377,3
In what city was Cloe Elmo born?,0,1,17,cq,q,4.713834734225799,0.9911094383412838,3
In what city was Ed Parker Jr. born?,0,1,17,cq,q,-1.9547666202616873,0.12403453624819408,2
In what city was Angela Leong born?,0,1,17,cq,q,-2.23531961310663,0.09662330919696581,1
Who was the composer of La permission de dix heures?,0,1,17,cq,q,-1.4859232863809175,0.18453440844426353,2
Who was the producer of Rain Dogs?,0,1,17,cq,q,-0.5118699439550338,0.3747552694250701,2
In what city was Pete Stewart born?,0,1,17,cq,q,-7.9529057676580415,0.0003515152912744401,2
Who was the director of Disney's The Kid?,0,1,17,cq,q,-0.7719182694126023,0.3160642922272706,0
What is Bill Kintner's occupation?,0,1,17,cq,q,4.678927190618847,0.9907965170703652,3
What is Mariana Vicente's occupation?,0,1,17,cq,q,-2.200910276904827,0.09966877573103972,4
In what country is Mon?,0,1,17,cq,q,12.637362932682695,0.9999967516590895,3
What is Jay the capital of?,0,1,17,cq,q,0.06553214453608813,0.5163771756236506,4
Who was the composer of Saturday Night?,0,1,17,cq,q,6.423219267157756,0.9983792096404073,2
Who was the director of Postal?,0,1,17,cq,q,1.3641764051168663,0.7964376345928735,3
Who was the director of Hoot?,0,1,17,cq,q,2.8748627264584705,0.9465897304030841,2
Who is the author of Keeping the Moon?,0,1,17,cq,q,-1.9084281933931764,0.12915753943483793,4
Who was the director of Fix?,0,1,17,cq,q,1.3347412189872383,0.7916238065856288,3
What genre is Alexander Beggrov?,0,1,17,cq,q,-4.714878128672807,0.008881372477686751,1
Who was the director of Free and Easy?,0,1,17,cq,q,-8.140404402863313,0.00029143432443641423,2
Who was the producer of Smoke?,0,1,17,cq,q,0.5483720427973777,0.6337578100854969,0
Who is the author of Roma?,0,1,17,cq,q,7.699514397241117,0.9995471580283404,4
What sport does Bennie Osler play?,0,1,17,cq,q,-2.874383336522663,0.05343451159714256,1
Who was the director of Hari-Bhari?,0,1,17,cq,q,-4.593471772736964,0.010016329149274349,3
Who was the director of Burning Man?,0,1,17,cq,q,9.269026353455851,0.9999057086074026,2
In what city was Alexandros Matsas born?,0,1,17,cq,q,0.08277453982482497,0.5206818276281543,0
Who is the author of Le Ton beau de Marot?,0,1,17,cq,q,-2.5443657429782416,0.07280591281978403,2
Who is the father of Adad?,0,1,17,cq,q,0.022900211905250822,0.5057248027952165,2
In what city was William Osler born?,0,1,17,cq,q,10.579163421962916,0.999974560026528,0
What sport does Algiers Derby play?,0,1,17,cq,q,3.9573015188966054,0.9812438907834911,2
Who is the author of GNU Affero General Public License?,0,1,17,cq,q,5.287698395780023,0.994972030468714,4
Who was the screenwriter for Return of the Fly?,0,1,17,cq,q,0.7717459090359571,0.6838984478530575,2
"Who is the father of Frederick IV, Elector Palatine?",0,1,17,cq,q,9.380147138809326,0.9999156243342165,0
Who was the director of Time Limit?,0,1,17,cq,q,-0.9903914066961779,0.27083477443206405,0
In what city was John Keating born?,0,1,17,cq,q,3.0453612539782444,0.954581835592099,4
Who is the author of Showdown?,0,1,17,cq,q,3.7337358475755575,0.9766546627425797,0
In what city was Hittman born?,0,1,17,cq,q,3.089254462973371,0.9564473196364947,3
Who is the author of Checkers?,0,1,17,cq,q,11.942512406464212,0.9999934922638655,0
Who was the composer of Imagine This?,0,1,17,cq,q,-1.1027094280081857,0.24923257351058753,0
What genre is Raavan?,0,1,17,cq,q,5.196977961578735,0.9944971875903842,0
Who was the producer of The Fighter?,0,1,17,cq,q,2.2096357079362723,0.9011114696488436,4
"What is Sir Thomas Clarges, 3rd Baronet's occupation?",0,1,17,cq,q,-0.601912836232458,0.35390618901915766,0
What is the capital of Golden Valley County?,0,1,17,cq,q,2.022376617625937,0.8831265329228821,0
What genre is Foreign Legion?,0,1,17,cq,q,7.798861416569713,0.9995899664343681,3
Who was the producer of The Lost Bridegroom?,0,1,17,cq,q,-10.16930466239063,3.832749667087288e-05,1
Who was the producer of Still Alive and Well?,0,1,17,cq,q,4.013371200322002,0.9822484457445845,3
What is the religion of Milica Hrebeljanović?,0,1,17,cq,q,-2.190383709007215,0.10061736506727266,4
What is the religion of Muscat and Oman?,0,1,17,cq,q,5.2263112147986215,0.9946554083709734,3
Who is the father of Sun He?,0,1,17,cq,q,0.7068678776087192,0.6697087062476119,2
Who was the producer of Friday the 13th Part 2?,0,1,17,cq,q,0.621962719621366,0.6506648067924239,0
Who was the composer of Sleep?,0,1,17,cq,q,9.39870747762773,0.9999171758030239,0
Who was the producer of The Guilty?,0,1,17,cq,q,9.14161503505008,0.9998928972756627,3
Who is the author of Riders in the Chariot?,0,1,17,cq,q,5.168308392551015,0.9943380472358221,0
Who is the author of Obsessed?,0,1,17,cq,q,6.444432718453478,0.9984131760921007,3
Who is the father of Hooge?,0,1,17,cq,q,-3.787959001881157,0.02214046723699854,0
Who was the director of My Family?,0,1,17,cq,q,-1.5849352494228182,0.17009766551967023,0
What is Jack Mackenzie's occupation?,0,1,17,cq,q,-0.9884340403067164,0.27122149494877607,0
Who was the producer of Paid?,0,1,17,cq,q,-2.053307096655237,0.11371864384009192,2
Who was the screenwriter for The Purchase Price?,0,1,17,cq,q,-8.48523163364548,0.0002064529311444807,1
Who is the author of Find Me?,0,1,17,cq,q,-4.337106820959537,0.012905568554560416,2
Who was the composer of Troy?,0,1,17,cq,q,3.7496210699972057,0.9770141217969937,0
Who is the author of Mary Marston?,0,1,17,cq,q,3.0923999325059426,0.956578158866756,4
Who is the father of Sisowath of Cambodia?,0,1,17,cq,q,4.435701029968759,0.9882919444381165,3
Who was the director of Green Tea?,0,1,17,cq,q,-3.316239578707275,0.03501825866330223,0
Who was the producer of 2001?,0,1,17,cq,q,4.095428451875538,0.9836240256118677,2
In what city was Mikael Eriksson born?,0,1,17,cq,q,-1.2222529834757792,0.22754021037537364,0
Who was the director of Late Last Night?,0,1,17,cq,q,-3.432701593201426,0.031288943335917,0
Who is the mother of Christiane Sehested?,0,1,17,cq,q,0.5955247627977993,0.6446317763553138,0
In what city was Steve McDonald born?,0,1,17,cq,q,-2.271456904741185,0.09351463777208104,3
Who is the author of Saints of Big Harbour?,0,1,17,cq,q,-9.777323039537013,5.6720222023654825e-05,2
What is Thomas McMurtry's occupation?,0,1,17,cq,q,1.1430593662064377,0.7582408994218152,0
Who was the composer of Ariane et Barbe-bleue?,0,1,17,cq,q,5.8161238812285765,0.9970297185984839,4
Who is the author of Lucky?,0,1,17,cq,q,6.792889258663715,0.9988795337135656,0
Who was the composer of Never Forget?,0,1,17,cq,q,-1.1356003486870838,0.24312905778847324,0
Who was the composer of Apache?,0,1,17,cq,q,8.59382725991465,0.9998147885640566,0
Who was the director of The Gamesters of Triskelion?,0,1,17,cq,q,-2.582788040055958,0.07025440134417059,0
Who was the producer of Drift?,0,1,17,cq,q,-7.070427483037199,0.0008491480613795825,1
Who is the author of Detective?,0,1,17,cq,q,9.940411197863682,0.9999518148359551,4
Who was the director of Gotti?,0,1,17,cq,q,-3.150748296657679,0.0410618033511387,1
In what city was Gregorio Selser born?,0,1,17,cq,q,-5.5204973302705564,0.003987889272744103,1
Who was the producer of Come and Get It?,0,1,17,cq,q,-3.9614267777488275,0.01868033717680184,1
Who is the author of Definitions?,0,1,17,cq,q,5.133316035521313,0.9941375969922654,0
Who was the composer of Wish You Were Here?,0,1,17,cq,q,3.626606843270074,0.9740832386099505,4
What genre is The Untold?,0,1,17,cq,q,2.50344686916318,0.9243831053287909,4
Who was the producer of The Sweet Sins of Sexy Susan?,0,1,17,cq,q,-2.074707284119733,0.11157955367944922,3
Who was the composer of You Never Know?,0,1,17,cq,q,2.908993876923952,0.94828924977644,3
Who was the screenwriter for The Invisible Hand?,0,1,17,cq,q,-2.7272073470119724,0.061386874409723874,4
Who was the screenwriter for P Se PM Tak?,0,1,17,cq,q,-4.308916846850351,0.013269656296985682,3
Who is the author of Bec?,0,1,17,cq,q,-3.6787985102558958,0.024631277205595725,2
What sport does Najeh Humoud play?,0,1,17,cq,q,-2.5452678715910535,0.07274503790098351,3
What is Windsor the capital of?,0,1,17,cq,q,-2.3115515089891705,0.09017077793080441,2
What genre is Hands Across the Sea?,0,1,17,cq,q,3.905231284548965,0.9802611701958376,0
Who was the producer of Dil?,0,1,17,cq,q,-5.9074609801357,0.0027117085755981162,3
Who is the father of Ragnall mac Gofraid?,0,1,17,cq,q,0.5937942446091637,0.6442352472470837,3
In what city was Jaime de Angulo born?,0,1,17,cq,q,-2.570163175832855,0.07108352872210816,2
