question,gold,prop,kside,knows,A_cb,ctx_id,ctx_title,s_wiki_title,orig_gold,ctx_label,ctx_text,answer_surface,ans_start,ans_end,wrong_answer
Who was the director of The Emerald City?,"[""Simon Cellan Jones"", ""Simon Cellan-Jones""]",director,K−,False,"I couldn't find any information on a film called ""The Emerald City"". Could you provide more context or details?",15079939,The Emerald City (Boardwalk Empire),The Emerald City (Boardwalk Empire),Simon Cellan Jones,C+,"The Emerald City (Boardwalk Empire) """"The Emerald City"""" is the tenth episode of the first season of the HBO television series """"Boardwalk Empire"""", which aired on HBO November 21, 2010. The episode was written by co-executive producer Lawrence Konner and directed by Simon Cellan Jones. The title is based on the fictional Emerald City from the Oz Books. Nucky asks Margaret to toe the party line; Angela witnesses Jimmy's violent side; Capone faces a crossroads; Van Alden grapples with his emotions. Following Nucky's assassination attempt, Richard stays at the Schroeder apartment; his scarred face and tin mask frighten the children.",Simon Cellan Jones,268,286,
What is the capital of Lys?,"[""Bruges"", ""Brugge""]",capital,K−,False,"I couldn't find any information on a place called ""Lys"". Could you provide more context or clarify which Lys you are referring to?",4413825,Lys (department),Lys (department),Bruges,C+,"Lys (department) Lys was a department of the First French Empire in present-day Belgium. It was named after the river Lys (Leie). It was created on 1 October 1795, when the Southern Netherlands were annexed by France. Before its occupation, its territory was part of the county of Flanders. Its capital was Bruges. The department was subdivided into the following arrondissements and cantons (situation in 1812): Its population in 1812 was 491,143, and its area was 366,911 hectares. After Napoleon was defeated in 1814, the department became part of the United Kingdom of the Netherlands. Its territory corresponded more or",Bruges,307,313,
Who was the director of The Empath?,"[""John Erman""]",director,K−,False,"I don't have information on a film called ""The Empath.""",4127361,The Empath,The Empath,John Erman,C+,"The Empath """"The Empath"""" is eleventh episode of the of the American science fiction television series """""""", broadcast on December 6, 1968. It is episode #67, production #63, written by Joyce Muskat and directed by John Erman. It was not without controversy and, for many years, was one of a handful of episodes of the series not screened in the United Kingdom by the BBC owing to its perceived disturbing content. It was not broadcast by the BBC until a repeat run in January 1994. In the episode, while visiting a doomed planet, the landing party is subject to torturous",John Erman,215,225,
What is the capital of Goondiwindi Region?,"[""Goondiwindi"", ""Goondiwindi, Queensland"", ""Goondiwindi, Queensland, Australia""]",capital,K−,False,Inverell,4420612,Goondiwindi,Goondiwindi Region,Goondiwindi,C+,"the Queensland state capital, Brisbane. The twin town of Boggabilla is nearby, on the New South Wales side of the border. Most of the area surrounding the town is farmland. The town is a major transport nexus between the southern states and Queensland. The Newell, Leichhardt, Gore, Cunningham, Barwon and Bruxner Highways all merge at Goondiwindi or close by. The town is the administrative centre for the Goondiwindi Region. Goondiwindi is a popular stopping point for interstate travellers, and has several motels and restaurants. Goondiwindi State School is a co-educational government primary school (P-6) at 34 George Street. In 2016,",Goondiwindi,336,347,
Who was the composer of The Sanguine Fan?,"[""Edward Elgar"", ""Edward William Elgar""]",composer,K−,False,"I'm not sure who the composer of ""The Sanguine Fan"" is. Can you provide more context or information about the piece?",3352649,The Sanguine Fan,The Sanguine Fan,Edward Elgar,C+,"The Sanguine Fan The Sanguine Fan, Op. 81, is a single-act ballet written by Sir Edward Elgar in 1917. It was one of the pieces he composed to raise money for wartime charities, having been asked to write it by his close friend and confidante Lady Alice Stuart-Wortley. The theme of the ballet was inspired by a scene depicting Pan and Echo that the artist, Charles Conder, had drawn in sanguine on a fan, although the title itself is incidental to the theme. The first performance was part of the revue """"Chelsea on Tiptoe"""" at the Chelsea Palace Theatre, London",Edward Elgar,81,93,
Who was the screenwriter for Neighbors?,"[""Larry Gelbart"", ""Larry Simon Gelbart""]",screenwriter,K−,False,Andrew Cohen and Brendan O'Brien were the screenwriters for Neighbors.,8368275,Neighbors (1981 film),Neighbors (1981 film),Buster Keaton,C+,"of """"Neighbors"""" was troubled. John Belushi and Dan Aykroyd switched their roles in pre-production, acting against type (usual-wild man Belushi played the meek Earl and usual-straight-arrow Aykroyd played the obnoxious Vic). Belushi and Aykroyd also argued constantly with director John G. Avildsen (as they believed that he had no understanding of comedy), and lobbied to have him removed from the picture. Belushi wanted either Aykroyd, himself or John Landis to direct the film. Avildsen also argued with producers Richard D. Zanuck and David Brown, and screenwriter Larry Gelbart objected to the changes made to his screenplay by Dan Aykroyd. John",Buster Keaton,570,583,
In what city was James W. Owens born?,"[""Franklin County"", ""Franklin County, Indiana""]",place of birth,K−,False,I don't have information on a person named James W. Owens. Could you provide more context or details about who James W. Owens is?,10372342,James W. Owens (congressman),James W. Owens (congressman),Franklin County,C+,"James W. Owens (congressman) James W. Owens (October 24, 1837 – March 30, 1900) was a U.S. Representative from Ohio. Born in Franklin County, Indiana, Owens pursued academic studies. He was graduated from Miami University, Oxford, Ohio, in 1862. During the Civil War enlisted in the Union Army as a private in the 20th Ohio Infantry, for three months' service. Reenlisted and was made first lieutenant of Company A, 86th Ohio Infantry, and on the reorganization of that regiment was made captain of Company K. He attended the law department of the University of Michigan at Ann Arbor in 1864",Franklin County,125,149,
Who was the composer of Ninnindale?,"[""Mani Sharma"", ""Yanamandra Venkata Subrahmanya Sharma""]",composer,K−,False,V. Harikrishna,17513109,Ninnindale,Ninnindale,Mani Sharma,C+,Audio was launched on 31 December 2013 in presence of his brother Shivrajkumar. Initially it was learnt that Mahesh Babu is going to launching the audio of Ninnindale. Later he didn't attend the function due to unknown reasons. But Mahesh Babu wished the Ninnindale team and spoke about his relation with Rajkumar's family through. The film marks the debut of Telugu director Jayanth C. Paranjee into Kannada. Producer Vijay Kumar is happy with the first rush of the film and wants the audio release to make a grand statement. The music is composed by Mani Sharma. Ninnindale Ninnindale (English: Because,Mani Sharma,552,563,
In what city was Alfred Jefferis Turner born?,"[""Guangzhou"", ""Canton"", ""Kwangchow"", ""Kwongchow""]",place of birth,K−,False,I don't have information on an individual named Alfred Jefferis Turner. Could you provide more context or details about who he is?,10743842,Alfred Jefferis Turner,Alfred Jefferis Turner,Guangzhou,C+,"Alfred Jefferis Turner Alfred Jefferis Turner (3 October 1861 Canton – 29 December 1947 Brisbane, Australia) was a pediatrician and noted amateur entomologist. He was the son of missionary Frederick Storrs-Turner. He introduced the use of diphtheria antitoxin to Australia in 1895. He was known by the nickname """"Gentle Annie"""". Doctor Turner was a resident of Dauphin Terrace, Highgate Hill, Brisbane. The Jefferis Turner Centre for mothercraft was opened in 1952 as part of the Queensland Government's Maternal and Child Welfare program. In 1986, its role was changed to provide short term respite care for intellectually disabled children. It is",Guangzhou,62,68,
What is the religion of Father Jean Bernard?,"[""Catholic Church"", ""Roman Catholic Church"", ""Church"", ""Roman Apostolic Catholic Church""]",religion,K−,False,Catholicism.,6742508,Father Jean Bernard,Father Jean Bernard,Catholic Church,C+,"was appointed an honorary prelate by Pope Paul VI. He was a member of the papal commission for film, radio and television; for the Second Vatican Council, he was a member of the working group on the press, film, radio and television, and was president of the Commission for the persecuted church, within the International Catholic Organisations Conference. He died on 1 September 1994. Father Jean Bernard Father Jean Bernard (13 August 1907 – 1 September 1994) was a Catholic priest from Luxembourg who was imprisoned from May 1941 to August 1942 in the Nazi concentration camp at Dachau. He",Catholic Church,289,295,
Who was the screenwriter for The Rubber Gun?,"[""Stephen Lack""]",screenwriter,K−,False,I don't have information on the screenwriter for The Rubber Gun.,15470983,The Rubber Gun,The Rubber Gun,Stephen Lack,C+,"The Rubber Gun The Rubber Gun is a 1977 film directed by Allan Moyle and starring Stephen Lack and Pierre Robert. It was nominated for two Genie Awards in 1980. In a book store, smooth-talking hard drug dealer/user and local artist Steve (Stephen Lack) meets Allan (Allan Moyle), a young sociology student at McGill. They become fast friends and Allan is invited to Steve's studio apartment on Montreal main to meet his commune/drug network. Allan decides he wants to do a paper with the controversial position that drug use has positive effects using Steve's 'family' as a case study. Life",Stephen Lack,82,94,
What is the religion of Kenneth Steiner?,"[""Catholic Church"", ""Roman Catholic Church"", ""Church"", ""Roman Apostolic Catholic Church""]",religion,K−,False,I don't have information on Kenneth Steiner's religion.,15785411,Kenneth Steiner,Kenneth Steiner,Catholic Church,C+,"Kenneth Steiner Kenneth Donald Steiner (born November 25, 1936) is an American prelate of the Catholic Church. He is currently Auxiliary Bishop Emeritus of the Archdiocese of Portland in Oregon, having served from 1978 to November 2011. Kenneth Steiner was born in David City, Nebraska, one of five children of Lawrence and Florine Steiner. His father died when Kenneth was very young, and the family then moved to Oregon, where he attended St. Rose Grade School in Portland. He graduated from Mount Angel Seminary High School and College in 1958, and studied for the priesthood at St. Thomas the Apostle",Catholic Church,94,109,
Who was the producer of Don't Ever Leave Me?,"[""Betty Box"", ""Betty Evelyn Box"", ""Betty E. Box""]",producer,K−,False,"I'm not sure who the producer of ""Don't Ever Leave Me"" is. Can you provide more context or information about the song or musical?",9124514,Don't Ever Leave Me,Don't Ever Leave Me,Betty Box,C+,"Don't Ever Leave Me Don't Ever Leave Me is a 1949 British comedy film directed by Arthur Crabtree and starring Petula Clark, Jimmy Hanley, Hugh Sinclair, Edward Rigby, and Anthony Newley. Produced by Betty Box during her stint at Gainsborough Pictures, it was written by Robert Westerby. The plot, a variation on """"The Ransom of Red Chief"""", revolves around Sheila Farlaine (Clark), the teenaged daughter of Shakespearean tragedian Michael Farlaine (Sinclair), who is kidnapped by elderly crook Harry Denton (Rigby) when it's suggested he no longer has what it takes to be a master criminal. When Harry starts having second",Betty Box,200,209,
Who was the screenwriter for La Collectionneuse?,"[""Patrick Bauchau"", ""Patrick Nicolas Jean Sixte Ghislain Bauchau""]",screenwriter,K−,False,Eric Rohmer,7850051,La Collectionneuse,La Collectionneuse,Patrick Bauchau,C+,"as well. """"La Collectionneuse"""" currently holds a 90% approval rating on Rotten Tomatoes. In 2001, Philip Norman of """"The Guardian"""" included the film in his list of the top 100 movies of the 20th century. In Jørgen Leth's 2003 film """"The Five Obstructions"""", the Danish director describes it as his favorite work by Rohmer – and he hired one of its stars, Patrick Bauchau, to appear in """"The Five Obstructions"""". In 2012, Roger Ebert added the film to his """"Great Movies"""" list. La Collectionneuse La Collectionneuse (""""The Collector"""") is a 1967 film directed by Éric Rohmer. The third entry in",Patrick Bauchau,357,372,
What genre is No Doubt?,"[""alternative rock"", ""alternative music"", ""alt-rock"", ""alternative"", ""alt rock"", ""pop/rock"", ""Alternative Rock"", ""rock music"", ""rock and roll"", ""rock"", ""Rock"", ""punk rock"", ""punk"", ""punk music"", ""pop music"", ""pop"", ""Pop"", ""ska punk"", ""ska-core"", ""punk ska"", ""pop rock"", ""pop/rock"", ""pop-rock"", ""ska"", ""ska music""]",genre,K−,False,Ska-punk or Pop-punk.,4102446,No Doubt (No Doubt album),No Doubt,pop rock,C+,"No Doubt (No Doubt album) No Doubt is the eponymous debut studio album by American rock band No Doubt, released on March 17, 1992 by Interscope Records. It was originally recorded as an independent release, but was re-recorded after the band signed with Interscope. It was produced by Dito Godwin and recorded in Los Angeles. The album was released during a period in which the United States was mainly focused on grunge music, an angst-ridden genre that was almost the complete opposite of No Doubt's upbeat, commercial sound. Despite strong tours, the album failed to perform as well as the",pop rock,83,87,
Who was the producer of The Turning Point?,"[""Nora Kaye"", ""Nora Koreff"", ""Arthur Laurents"", ""Herbert Ross"", ""Herbert David Ross""]",producer,K−,False,Harold Prince was the producer of The Turning Point.,5533034,The Turning Point (1977 film),The Turning Point (1977 film),Herbert Ross,C+,"their friends Nora and Herbert. Later in the mid 1970s, a script based on the Brown family was developed by Arthur Laurents. Ross directed the film and co-produced with his wife. Ross, Laurents, and Kaye never had children and took a special interest in Leslie Browne as she grew older. The script was a fictionalized version of the Browns' life and the long friendship between Isabel and Nora. The fictional parts primarily concern the character Yuri, who was created as a love interest for Emilia. Originally, the ballerina Gelsey Kirkland, who was at the height of her fame at the",Herbert Ross,108,123,
Who is the author of Close to Home?,"[""Deborah Moggach"", ""Deborah Hough""]",author,K−,False,"I'm not sure who the author of ""Close to Home"" is. Can you provide more context or information about the book?",13192131,Close to Home (novel),Close to Home (novel),Deborah Moggach,C+,"Close to Home (novel) Close to Home, is the second novel by English author Deborah Moggach, first published in 1979 by Collins. It is mentioned in the 6th edition of the Bloomsbury Good Reading Guide. Like her first novel """"You Must Be Sisters"""" it is semi-autobiographical and relates to a time when she was living in Camden Town with two small children, a husband who was often away on business, and struggling to write a novel. The book is set in the long hot summer of 1976 in a suburban London street and concerns the occupants of two adjacent houses.",Deborah Moggach,75,90,
What genre is SimTower?,"[""construction and management simulation"", ""CMS"", ""Construction and management simulation video games"", ""miniscape""]",genre,K−,False,"SimTower is a simulation game, specifically a building simulation game.",3403804,SimTower,SimTower,construction and management simulation,C+,"SimTower SimTower: The Vertical Empire (known as in Japan) is a construction and management simulation video game developed by OpenBook Co., Ltd. and published by Maxis for the Microsoft Windows and Macintosh System 7 operating systems in November 1994. In Japan, it was published by OpenBook that same year and was later released for the Sega Saturn and Sony PlayStation in 1996. The game allows players to build and manage a tower and decide what facilities to place in it, in order to ultimately build a five-star tower. Random events take place during play, such as terrorist acts that the",construction and management simulation,64,102,
Who was the director of The Closet?,"[""Francis Veber"", ""Francis Paul Veber""]",director,K−,False,"I couldn't find any information on a film called ""The Closet"". Could you provide more context or clarify which ""The Closet"" you are referring to?",5646305,The Closet (2001 film),The Closet (2001 film),Francis Veber,C+,"and malice"""" and noted, """"Auteuil and Depardieu spar hilariously, and writer-director Francis Veber, following """"The Dinner Game"""", offers another delicious treat."""" Lisa Schwarzbaum of """"Entertainment Weekly"""" rated the film A-, calling it a """"cagey, high gloss comedy"""" and a """"perfectly built French tickler."""" Daniel Auteuil was named Best Actor at the Shanghai International Film Festival. The Closet (2001 film) The Closet () is a 2001 French comedy film written and directed by Francis Veber. It is about a man who pretends to be homosexual to keep his job, with absurd and unexpected consequences. François Pignon, an unassuming divorced man with",Francis Veber,86,99,
In what city was Billy McGinty born?,"[""Glasgow"", ""Glasgow, Scotland""]",place of birth,K−,False,"I don't have information on a person named Billy McGinty, including their birthplace. Could you provide more context or details about who Billy McGinty",12319306,Billy McGinty (rugby league),Billy McGinty (rugby league),Glasgow,C+,"Billy McGinty (rugby league) Billy McGinty is a Scottish former professional rugby league footballer of the 1990s, and the early 2000s. He played in the forwards for Wigan during the period in the 1990s when they dominated the sport, and later for Workington Town. McGinty was born in Glasgow, Scotland. Billy McGinty was an interchange/substitute in Warrington's 14-36 defeat by Wigan in the 1989–90 Challenge Cup Final during the 1989–90 season at Wembley Stadium, London on Saturday 28 April 1990, in front of a crowd of 77,729. Billy McGinty played right-, i.e. number 12, and was man of the match",Glasgow,285,302,
Who was the producer of Rehab?,"[""Mark Ronson"", ""Mark Daniel Ronson"", ""DJ Ronson""]",producer,K−,False,"I'm not sure who the producer of Rehab was. Can you provide more context or information about the song or album ""Rehab""?",9041455,Rehab (Amy Winehouse song),Rehab (Amy Winehouse song),Timbaland,C+,"Rehab (Amy Winehouse song) """"Rehab"""" is a song written and performed by English singer and songwriter Amy Winehouse, from her second and final studio album """"Back to Black"""" (2006). Produced by Mark Ronson, the lyrics are autobiographical and address Winehouse's refusal to enter a rehabilitation clinic. """"Rehab"""" was released as the lead single from """"Back to Black"""" on 23 October 2006, and it peaked at number 7 in the United Kingdom on its Singles Chart and number 9 in the United States on the """"Billboard"""" Hot 100, becoming Winehouse's only top 10 hit in the US. """"Rehab"""" has become a",Timbaland,194,205,
Who was the director of Little 'Tinker?,"[""Tex Avery"", ""Frederick Bean Avery"", ""Fred Avery""]",director,K−,False,"I'm not aware of a film called ""Little 'Tinker"".",14430410,Little 'Tinker,Little 'Tinker,Tex Avery,C+,"Little 'Tinker Little 'Tinker is a 1948 MGM cartoon directed by Tex Avery. It was produced by Fred Quimby and composed by Scott Bradley. The story begins at the home of B.O. Skunk, which is propelled by many fans. B.O. takes a shower with O-Bouy soap (a parody to the Lifebuoy soap, complete with its jingle) and overly douses himself with expiring perfume. Then, he goes out for a walk. The flowers he has are rotting and falling within his vicinity. As B.O. walks to the forest, he sees a pretty squirrel who calls him closer. But when B.O. goes",Tex Avery,64,73,
Who was the composer of Mela?,"[""Naushad"", ""Naushad Ali""]",composer,K−,False,"I'm not sure who the composer of ""Mela"" is. Can you provide more context or information about ""Mela"" so I can better understand your",10074368,Mela (1948 film),Mela (1948 film),Naushad,C+,"two main aspects of his role"""". The film was released on 8 October 1948 at Excelsior cinema, Bombay. The music of the film was a main part in the commercial success at the box-office, with it being reportedly referred to as Naushad's """"Golden jubilee (fifty weeks) Mela"""". According to Meghnad Desai, a weak story was camouflaged by the """"stunning melodies"""" in """"Mela"""" and other films. The reported box office gross for the film according to IBOS was ₹. 50 lakhs in 1948. The adjusted gross as of 2015 is roughly estimated at ₹. 340.44 crores. Composer Naushad had Shamshad Begum",Naushad,224,231,
Who was the screenwriter for Being Human?,"[""Bill Forsyth"", ""William David Forsyth""]",screenwriter,K−,False,"Toby Whithouse was the screenwriter for the BBC series ""Being Human"".",4057541,Being Human (1994 film),Being Human (1994 film),Bill Forsyth,C+,"Being Human (1994 film) Being Human is a 1994 British-Japanese comedy-drama film written and directed by Bill Forsyth and starring Robin Williams, John Turturro, Bill Nighy, Vincent D'Onofrio, Robert Carlyle and Theresa Russell. The film portrays the experience of a single human soul, portrayed by Williams, through various incarnations. Williams is the only common actor throughout the stories that span man's history on Earth. An attempt on director-screenwriter Bill Forsyth's part to depict by visual means the ordinariness of life throughout the ages, """"Being Human"""" is deliberately slow in its pace in order to emphasize how slow life often is.",Bill Forsyth,105,117,
Who was the producer of The Search?,"[""Michel Hazanavicius"", ""Michel Hazanavičius""]",producer,K−,False,David Wechsler,17977879,The Search (2014 film),The Search (2014 film),Michel Hazanavicius,C+,"The Search (2014 film) The Search is a 2014 French drama film written, directed, produced and co-edited by Michel Hazanavicius and co-produced by Thomas Langmann. The film is a reiteration of the Oscar-winning post-Holocaust drama also called """"The Search"""", directed by Fred Zinnemann, in which a compassionate westerner helps a lost child find what is left of his family amidst the chaotic flood of post-war civilian refugees. In the 1948 film, the backdrop is post-war Berlin; """"The Search"""" (2014) takes place in the """"front lines of the Russian invasion of Chechnya"""" during the first year of the Second Chechen War",Michel Hazanavicius,107,126,
Who was the composer of Annakili?,"[""Ilaiyaraaja"", ""Ilayaraja"", ""Ilaya Raja"", ""Raja""]",composer,K−,False,R. K. Shanmukha Subbu,15433066,Annakili,Annakili,Ilaiyaraaja,C+,"another girl. Azhagappan, a womaniser creates a misunderstanding about Annakili among the villagers; the rest of the film shows how Annakili proves her innocence. The film was released on 14 May 1976 with a reel length of and became a commercial success at box office. The film was screened at Indian Panorama Film Festival in 1978. The film's soundtrack was composed by Ilaiyaraaja, who made his debut as composer with this film. Credits adapted from """"The Hindu"""": During the discussion at Mahabalipuram, Selvaraj narrated the story of """"Maruthavachi"""" to Panchu Arunachalam, who liked the plot and decided to produce the",Ilaiyaraaja,371,382,
Who is the father of Pierre Joxe?,"[""Louis Joxe""]",father,K−,False,I don't have information on who the father of Pierre Joxe is.,6475375,Pierre Joxe,Pierre Joxe,Louis Joxe,C+,"Pierre Joxe Pierre Joxe (born 28 November 1934 in Paris) is a former French Socialist politician and has been a member of the Constitutional Council of France since 2001. A graduate of the """"Ecole nationale d'administration"""", he joined the Court of Audit of France in the 1960s. Whereas his father, Louis Joxe, was Justice Minister of Charles de Gaulle, Pierre Joxe entered politics as a follower of François Mitterrand, first in the Convention of Republican Institutions, then (from 1971) in the renewed Socialist Party (PS). Considered as one of the closest allies of the PS leader, he was elected as",Louis Joxe,300,310,
Who is the author of The Story of the Daughters of Quchan?,"[""Afsaneh Najmabadi""]",author,K−,False,"I'm not sure who the author of ""The Story of the Daughters of Quchan"" is. Can you provide more context or information about the book",13261298,The Story of the Daughters of Quchan,The Story of the Daughters of Quchan,Afsaneh Najmabadi,C+,"The Story of the Daughters of Quchan The Story of the Daughters of Quchan: Gender and National Memory in Iranian History is a 1998 political history book written by Afsaneh Najmabadi. It explores a 1905 occurrence of human trafficking in Iran. """"The Daughters of Quchan"""" refers to a group of about two hundred fifty girls from the district of Quchan, who were kidnapped and sold by the local government in lieu of a tax. This story is an example of one of the many unjust acts by both the provincial governments and the national Qajar Regime which led to the",Afsaneh Najmabadi,165,182,
Who was the producer of Jeans?,"[""Ashok Amritraj"", ""Sunanda Murali Manohar""]",producer,K−,False,K. Raghavendra Rao,3237871,Jeans (film),Jeans (film),Sunanda Murali Manohar,C+,"film. The film was set to be directed and produced by Prashanth's father Thiagarajan, who revealed that production would begin in May 2014 and that they were trying to bring members of the original team back for the venture. In January 2014, Ashok Amritraj stated that he was not involved in the sequel and questioned the viability of the project, citing that he did not believe that Prashanth and his father had the rights to make a sequel. In February 2016, Prashanth reaffirmed that the sequel was in development. Jeans (film) Jeans is a 1998 Indian Tamil-language romantic comedy film",Sunanda Murali Manohar,242,256,
Who was the producer of Arthur 2: On the Rocks?,"[""Dudley Moore"", ""Dudley Stuart John Moore""]",producer,K−,False,Paul Maslansky,6109531,Arthur 2: On the Rocks,Arthur 2: On the Rocks,Dudley Moore,C+,"Arthur 2: On the Rocks Arthur 2: On the Rocks is a 1988 American comedy film and the sequel to the 1981 film """"Arthur"""". Lead actors Dudley Moore and Liza Minnelli reprised their roles. John Gielgud, who won an Academy Award for his role in the original film, reappears briefly in a drunken hallucination on Arthur's part. The film co-stars Kathy Bates as a woman who helps the characters of Arthur and Linda adopt a baby. Stephen Elliott reprises his role from the first film, but his daughter, Jill Eikenberry originally, is now played by Cynthia Sikes. Burt Bacharach returns",Dudley Moore,133,145,
Who was the producer of Parker?,"[""Leslie Alexander"", ""Taylor Hackford"", ""Taylor Edwin Hackford""]",producer,K−,False,I'm not sure who the producer of Parker was. Can you provide more context or information about the movie Parker?,16826904,Parker (2013 film),Parker (2013 film),Leslie Alexander,C+,"he'd only allow that if they'd agree to adapt all the novels. In 2008, following Westlake's death, his wife Abby, having been contacted by Les Alexander, a television producer who was a longtime acquaintance of Westlake's, agreed to sell the rights to one Parker novel (including the right to use Parker's name), with the option of several more being adapted later if the first film was successful. Alexander hired a friend of his named John McLaughlin to write the screenplay for """"Parker"""", and then director Taylor Hackford became involved. When the film opened, Taylor Hackford said in an interview that",Leslie Alexander,511,526,
Who is the father of Abbot Oliba?,"[""Oliba Cabreta""]",father,K−,False,Guifré el Pilós (also known as Guifré the Hairier),7214310,Abbot Oliba,Abbot Oliba,Oliba Cabreta,C+,"born circa 971 to an affluent family in the Spanish March. His father was Oliba Cabreta, the count of Besalú, Cerdanya, Berga, and Ripoll, and his mother was Ermengard of Empúries. His father's lineage made him the great-grandson of Wilfred the Hairy. Oliba had three brothers and a sister, and when his father chose to retire to a monastery in 988, his lands were divided among his three oldest sons; Bernard received Besalú, Wilfred received Cerdanya, and Oliba received Berga and Ripoll. In 1002, Oliba himself abdicated his secular possessions to his brothers - Wilfred receiving Berga and Bernard getting",Oliba Cabreta,74,87,
Who was the screenwriter for Mantra?,"[""Ravi Prakash"", ""Raviprakash"", ""Ravikanth""]",screenwriter,K−,False,I'm not sure who the screenwriter for Mantra was. Can you provide more context or information about the movie Mantra?,11400000,Mantra (2007 film),Mantra (2007 film),Ravi Prakash,C+,"Mantra (2007 film) Mantra () is a 2007 Telugu thriller film starring Sivaji, Charmy Kaur and Kausha. This film was directed by Tulasi Ram and produced by Ravi Prakash and Kalyan Ram. Mantra 2 the sequel of Mantra was released in 2015. Mantra’s parents die when she was young and she lives with her friend Vinny. She inherits an ancestral property called 'Mantra Nilayam' in the outskirts of Hyderabad. Mantra Nilayam is called as haunted house because of two untimely deaths in that farm house few years back. She wants to sell it off, but no body comes forward to",Ravi Prakash,154,166,
Who is the mother of Lincoln Stedman?,"[""Myrtle Stedman""]",mother,K−,False,I don't have information on Lincoln Stedman's mother. Can I help you with something else?,11813397,Lincoln Stedman,Lincoln Stedman,Myrtle Stedman,C+,"death of a heart-ailment, his daughter Loretta Myrtle Stedman was born. Lincoln Stedman died in Los Angeles, California and was buried at the Holy Cross Cemetery in Los Angeles. Lincoln Stedman Lincoln Stedman (May 18, 1907 – March 22, 1948) was an American silent film actor. Stedman was born in Denver, Colorado, and was the son of Marshall Stedman and silent film beauty Myrtle Stedman. A large fat man, Stedman had a career in films dating back to his boyhood in silent films with his parents. He appeared in 81 films between 1917 and 1934. Overweight as a teenager, Stedman",Myrtle Stedman,47,61,
What genre is Roper?,"[""pop punk"", ""punk-pop"", ""pop-punk""]",genre,K−,False,"I don't have enough information to determine the genre of ""Roper"". Could you please provide more context or clarify what ""Roper"" refers to?",2793792,Roper (band),Roper (band),pop punk,C+,"that musically it was the highlight of his career. In March 2010 rumors have surfaced on the Brave Saint Saturn message boards saying that Roper is back together, however none of the band members confirmed it yet. Roper (band) Roper was a Christian pop-punk band formed in Denver, Colorado. The band consisted of Reese Roper (lead singer of Five Iron Frenzy) on lead vocals, Jonathan Byrnside on lead guitar, Jonathan Till on bass, Matt Emmett on rhythm guitar, and Nick White on drums. Guerilla Rodeo Guerilla Rodeo was a short-lived project founded by Reese Roper, meant to follow his prior",pop punk,249,257,
What genre is Artur Lemba?,"[""opera"", ""lyric drama"", ""European opera"", ""Western classical opera""]",genre,K−,False,Artur Lemba is a composer of the Estonian Romantic music genre.,15180997,Artur Lemba,Artur Lemba,opera,C+,"Artur Lemba Artur Lemba (24 September 1885, Tallinn – 21 November 1963, Tallinn) was an Estonian composer and piano teacher, and one of the most important figures in Estonian classical music. Artur and his older brother Theodor (1876-1962) were the first professional pianists in Estonia to give concerts abroad. Artur's 1905 opera """"Sabina"""" was the first opera composed by an Estonian. His Symphony No. 1 in 1908 was the first symphony composed by an Estonian. Lemba was a finalist in the prestigious Anton Rubinstein Competition and later a professor at the Saint Petersburg Conservatory. Artur Lemba learned piano from his",opera,326,331,
Who is the father of Shi Jian?,"[""Shi Hu""]",father,K−,False,I don't have information on Shi Jian's father. Can I help you with something else?,6951439,Shi Jian,Shi Jian,Shi Hu,C+,"Shi Jian Shi Jian (石鑒) (died 350) was briefly (for 103 days) an emperor of the Chinese/Jie state Later Zhao. He was the third of four short-lived emperors after the death of his father Shi Hu (Emperor Wu). He is sometimes referred to by his title prior to becoming emperor, Prince of Yiyang (義陽王). Arguably, it was his machinations with his powerful adoptive nephew Shi Min against his brother Shi Zun that finally led to Later Zhao's downfall. Not much is known about Shi Jian prior to his father's death—including who his mother was. He was created the Prince of",Shi Hu,185,191,
Who was the producer of Let America Laugh?,"[""Lance Bangs"", ""Lance P. Bangs""]",producer,K−,False,"I'm not sure who the producer of ""Let America Laugh"" was. Can you provide more context or information about the show?",5593015,Let America Laugh,Let America Laugh,Lance Bangs,C+,"Let America Laugh"""", in violation of Weber's privacy rights. In April 2006 the case against David Cross himself was dismissed, leaving Thomas Weber to face Warner Music, Sub-Pop, WEA Corporation, and the Alternative Distribution Alliance. In June, the four companies together offered Weber an 'offer of judgement' of $30,000. Weber then attempted to force each of the four companies to pay $30,000 and in the end received nothing. The case was dismissed on July 25, 2006. Let America Laugh Let America Laugh is a 2003 documentary film produced and directed by Lance Bangs of stand-up comedian David Cross's tour of",Lance Bangs,560,571,
Who was the producer of Kites?,"[""Rakesh Roshan"", ""Rakesh Roshan Lal Nagrath""]",producer,K−,False,Bhushan Kumar,11763820,Kites (film),Kites (film),Rakesh Roshan,C+,"Kites (film) Kites is a 2010 Indian Hindi/Spanish mix language dialogue romantic action thriller film directed by Anurag Basu, story written and produced by Rakesh Roshan, starring Hrithik Roshan, Bárbara Mori, Kangana Ranaut, and Kabir Bedi. The film was released in India and in North America on 21 May 2010. Its 208-theater opening in North America made it the largest Bollywood release up to that time. It was also the first Bollywood movie to reach the weekend top ten, though """"My Name is Khan"""" had a larger first-weekend North American gross. Reliance Entertainment bought worldwide distribution rights of Kites for",Rakesh Roshan,157,170,
